firstName,lastName,phone,email,companyName,address1,city,state,postalCode,website,tags,source,customField.lead_score,customField.vertical,customField.review_count,customField.rating,customField.score_reasons,customField.google_maps_url
Music,"City MedSPA, PLLC",(615) 582-5069,,"Music City MedSPA, PLLC","3443 Dickerson Pike Ste 500, Nashville, TN 37207",Nashville,Tennessee,37207,,"lead-gen,med spa,score-100",apify-lead-gen,100,med spa,,,No website — needs full digital presence; Zero reviews — needs reputation management; High-value vertical (med spa): +10,https://www.google.com/maps/search/?api=1&query=Music%20City%20MedSPA%2C%20PLLC&query_place_id=ChIJd8_lYKddZIgR6lexbqT5wvE
Justice,Chiropractic,(615) 865-5251,,Justice Chiropractic,"1597 Gallatin Pike N, Madison, TN 37115",Madison,Tennessee,37115,,"lead-gen,chiropractor,score-100",apify-lead-gen,100,chiropractor,23,4.9,No website — needs full digital presence; Growing business (23 reviews) — prime for automation; High rating (4.9) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (chiropractor): +8,https://www.google.com/maps/search/?api=1&query=Justice%20Chiropractic&query_place_id=ChIJwePQ9ndDZIgRFzAH-xtEfVM
Myron,"O. Brown, DC",(615) 207-7198,,"Myron O. Brown, DC","525 Gallatin Pike S, Madison, TN 37115",Madison,Tennessee,37115,,"lead-gen,chiropractor,score-100",apify-lead-gen,100,chiropractor,3,5,No website — needs full digital presence; Low reviews (3) — needs review automation; High rating (5) but few reviews — quality business under-marketed; High-value vertical (chiropractor): +8,https://www.google.com/maps/search/?api=1&query=Myron%20O.%20Brown%2C%20DC&query_place_id=ChIJc7BZtsBgZIgRY7VCuoQmIxE
Jason,"L. Boylan, NP",,,"Jason L. Boylan, NP","1406 McGavock Pk, Madison, TN 37115",Madison,Tennessee,37115,,"lead-gen,chiropractor,score-100",apify-lead-gen,100,chiropractor,2,5,No website — needs full digital presence; Low reviews (2) — needs review automation; High rating (5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (chiropractor): +8,https://www.google.com/maps/search/?api=1&query=Jason%20L.%20Boylan%2C%20NP&query_place_id=ChIJm4eNUhZoZIgRnUKBwzuH7Z0
Chiropractor,,,,Chiropractor,"Nashville, TN 37207",Nashville,Tennessee,,,"lead-gen,chiropractor,score-100",apify-lead-gen,100,chiropractor,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (chiropractor): +8,https://www.google.com/maps/search/?api=1&query=Chiropractor&query_place_id=ChIJBaKMZyFdZIgRBLvsQldXOrM
C,W Smith Roofing,(615) 297-1444,,C W Smith Roofing,"3239 Union Hill Rd, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,roofing contractor,score-100",apify-lead-gen,100,roofing contractor,4,5,No website — needs full digital presence; Low reviews (4) — needs review automation; High rating (5) but few reviews — quality business under-marketed; High-value vertical (roofing contractor): +5,https://www.google.com/maps/search/?api=1&query=C%20W%20Smith%20Roofing&query_place_id=ChIJT9GhoSdZZIgRKF3yo2Ov8rE
Meeks,Siding & Window Crftsmn,(615) 876-2126,,Meeks Siding & Window Crftsmn,"6180 Eatons Creek Rd, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,roofing contractor,score-100",apify-lead-gen,100,roofing contractor,1,5,No website — needs full digital presence; Low reviews (1) — needs review automation; High rating (5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (roofing contractor): +5,https://www.google.com/maps/search/?api=1&query=Meeks%20Siding%20%26%20Window%20Crftsmn&query_place_id=ChIJj82DzMxYZIgRKfjMeyeX_7A
Express,roofing,(615) 578-6238,,Express roofing,"1735 Springfield Hwy, Goodlettsville, TN 37072",Goodlettsville,Tennessee,37072,,"lead-gen,roofing contractor,score-100",apify-lead-gen,100,roofing contractor,26,5,No website — needs full digital presence; Growing business (26 reviews) — prime for automation; High rating (5) but few reviews — quality business under-marketed; High-value vertical (roofing contractor): +5,https://www.google.com/maps/search/?api=1&query=Express%20roofing&query_place_id=ChIJ5dPELXBPZIgRKrb3OgnxasY
Home,Improvement & Home Services LLC,(615) 485-4472,,Home Improvement & Home Services LLC,"6540 Clarksville Pike, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,roofing contractor,score-100",apify-lead-gen,100,roofing contractor,1,5,No website — needs full digital presence; Low reviews (1) — needs review automation; High rating (5) but few reviews — quality business under-marketed; High-value vertical (roofing contractor): +5,https://www.google.com/maps/search/?api=1&query=Home%20Improvement%20%26%20Home%20Services%20LLC&query_place_id=ChIJPf8AuKxZZIgRWUS1AbGAoA8
Charlotte,Auto Repair,(615) 876-9175,,Charlotte Auto Repair,"8020 Whites Creek Pike, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,auto repair shop,score-100",apify-lead-gen,100,auto repair shop,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=Charlotte%20Auto%20Repair&query_place_id=ChIJQyKbuWhYZIgRC21h1nnwgss
Frankenstein,Custom Paint and Body,(615) 593-5699,,Frankenstein Custom Paint and Body,"1606 Hunters Ln, Nashville, TN 37207",Nashville,Tennessee,37207,,"lead-gen,auto repair shop,score-100",apify-lead-gen,100,auto repair shop,19,4.3,No website — needs full digital presence; Low reviews (19) — needs review automation; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=Frankenstein%20Custom%20Paint%20and%20Body&query_place_id=ChIJYS9WXuddZIgR_zXFilGAG1Y
H,& H Automotive Repair,(615) 262-0853,,H & H Automotive Repair,"928 Home Rd, Nashville, TN 37216",Nashville,Tennessee,37216,,"lead-gen,auto repair shop,score-100",apify-lead-gen,100,auto repair shop,138,4.6,No website — needs full digital presence; Established (138 reviews) — has budget for services; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=H%20%26%20H%20Automotive%20Repair&query_place_id=ChIJq44NOQRoZIgRmn1EnHd3fq8
East,Nashville Auto Clinic,(615) 226-3576,,East Nashville Auto Clinic,"4013 Gallatin Pike #2422, Nashville, TN 37216",Nashville,Tennessee,37216,,"lead-gen,auto repair shop,score-100",apify-lead-gen,100,auto repair shop,37,4.7,No website — needs full digital presence; Growing business (37 reviews) — prime for automation; High rating (4.7) but few reviews — quality business under-marketed,https://www.google.com/maps/search/?api=1&query=East%20Nashville%20Auto%20Clinic&query_place_id=ChIJR-EHJadCZIgR36835ptb7uw
Ramirez,Auto Repair,(615) 578-4670,,Ramirez Auto Repair,"103 Hickory St, Madison, TN 37115",Madison,Tennessee,37115,,"lead-gen,auto repair shop,score-100",apify-lead-gen,100,auto repair shop,35,4.3,No website — needs full digital presence; Growing business (35 reviews) — prime for automation; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=Ramirez%20Auto%20Repair&query_place_id=ChIJLd4jueJCZIgR7gic2GxzorA
AUCTIONS,& REAL ESTATE SALES,(615) 369-3608,,AUCTIONS & REAL ESTATE SALES,"3679 Forte Rd, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,real estate agent,score-100",apify-lead-gen,100,real estate agent,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (real estate agent): +5,https://www.google.com/maps/search/?api=1&query=AUCTIONS%20%26%20REAL%20ESTATE%20SALES&query_place_id=ChIJQRfO-0FfZIgR-jbaN2xJ5nc
EXIT,REAL ESTATE SOLUTIONS: Tina Redding,(615) 826-0001,,EXIT REAL ESTATE SOLUTIONS: Tina Redding,"3331 Freeman Hollow Rd, Goodlettsville, TN 37072",Goodlettsville,Tennessee,37072,,"lead-gen,real estate agent,score-100",apify-lead-gen,100,real estate agent,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (real estate agent): +5,https://www.google.com/maps/search/?api=1&query=EXIT%20REAL%20ESTATE%20SOLUTIONS%3A%20Tina%20Redding&query_place_id=ChIJD1-HqMNaZIgRnE8QJiu85Ak
Edmondson,Empire Inc,(615) 762-0149,,Edmondson Empire Inc,"2628 Clay Lick Rd, Whites Creek, TN 37189",Whites Creek,Tennessee,37189,,"lead-gen,real estate agent,score-100",apify-lead-gen,100,real estate agent,1,5,No website — needs full digital presence; Low reviews (1) — needs review automation; High rating (5) but few reviews — quality business under-marketed; High-value vertical (real estate agent): +5,https://www.google.com/maps/search/?api=1&query=Edmondson%20Empire%20Inc&query_place_id=ChIJrXVHNIlZZIgRFtaSPGuO028
Vacant,Retail Building,,,Vacant Retail Building,"204 Gifford Pl, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,real estate agent,score-100",apify-lead-gen,100,real estate agent,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (real estate agent): +5,https://www.google.com/maps/search/?api=1&query=Vacant%20Retail%20Building&query_place_id=ChIJKyLYCgBZZIgRSIp1mhgeTQo
Putman,Electric Co Inc,(615) 876-0188,,Putman Electric Co Inc,"6221 Clarksville Pike, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,electrician,score-100",apify-lead-gen,100,electrician,2,5,No website — needs full digital presence; Low reviews (2) — needs review automation; High rating (5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (electrician): +5,https://www.google.com/maps/search/?api=1&query=Putman%20Electric%20Co%20Inc&query_place_id=ChIJVVfeIbFYZIgRa1CVpzNxMrw
Ralph's,Welding Services,(615) 859-6277,,Ralph's Welding Services,"1736 Greer Rd, Goodlettsville, TN 37072",Goodlettsville,Tennessee,37072,,"lead-gen,electrician,score-100",apify-lead-gen,100,electrician,4,5,No website — needs full digital presence; Low reviews (4) — needs review automation; High rating (5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (electrician): +5,https://www.google.com/maps/search/?api=1&query=Ralph's%20Welding%20Services&query_place_id=ChIJsc_UHH5aZIgRHmgP3tXS4RA
Elite,Electrical Services LLC,(615) 262-1774,,Elite Electrical Services LLC,"1200 Northgate Business Pkwy #101madison, Madison, TN 37115",Madison,Tennessee,37115,,"lead-gen,electrician,score-100",apify-lead-gen,100,electrician,2,5,No website — needs full digital presence; Low reviews (2) — needs review automation; High rating (5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (electrician): +5,https://www.google.com/maps/search/?api=1&query=Elite%20Electrical%20Services%20LLC&query_place_id=ChIJf3XrfAZoZIgR63AngSCXvfQ
Craddock's,Lawn & Landscape,(615) 226-6674,,Craddock's Lawn & Landscape,"Nashville, TN 37216",Nashville,Tennessee,37216,,"lead-gen,landscaper,score-100",apify-lead-gen,100,landscaper,3,2.3,No website — needs full digital presence; Low reviews (3) — needs review automation; GBP unclaimed — huge opportunity; High-value vertical (landscaper): +4,https://www.google.com/maps/search/?api=1&query=Craddock's%20Lawn%20%26%20Landscape&query_place_id=ChIJw8zNsJNCZIgRXVH2CyG0f4k
Paradise,Construction,(615) 750-2567,,Paradise Construction,"5800 Clarksville Pike, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,general contractor,score-100",apify-lead-gen,100,general contractor,4,3.8,No website — needs full digital presence; Low reviews (4) — needs review automation; GBP unclaimed — huge opportunity; High-value vertical (general contractor): +5,https://www.google.com/maps/search/?api=1&query=Paradise%20Construction&query_place_id=ChIJc9_pw0BfZIgRJix6fQVNNjk
Home,Improvement & Home Services LLC,(615) 485-4472,,Home Improvement & Home Services LLC,"6540 Clarksville Pike, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,general contractor,score-100",apify-lead-gen,100,general contractor,1,5,No website — needs full digital presence; Low reviews (1) — needs review automation; High rating (5) but few reviews — quality business under-marketed; High-value vertical (general contractor): +5,https://www.google.com/maps/search/?api=1&query=Home%20Improvement%20%26%20Home%20Services%20LLC&query_place_id=ChIJPf8AuKxZZIgRWUS1AbGAoA8
ABG,Contractors,(615) 851-1960,,ABG Contractors,"2200 Kayla Dr, Goodlettsville, TN 37072",Goodlettsville,Tennessee,37072,,"lead-gen,general contractor,score-100",apify-lead-gen,100,general contractor,1,5,No website — needs full digital presence; Low reviews (1) — needs review automation; High rating (5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (general contractor): +5,https://www.google.com/maps/search/?api=1&query=ABG%20Contractors&query_place_id=ChIJK7x4ezVFZIgRKpPDxlDzZ3A
Specialty,Stairs & Woodworks,(615) 876-0545,,Specialty Stairs & Woodworks,"4884 Brick Church Pike, Goodlettsville, TN 37072",Goodlettsville,Tennessee,37072,,"lead-gen,general contractor,score-100",apify-lead-gen,100,general contractor,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (general contractor): +5,https://www.google.com/maps/search/?api=1&query=Specialty%20Stairs%20%26%20Woodworks&query_place_id=ChIJjVNV7XdbZIgROPXDh7NXbVc
Brothers,Pool Plastering,(615) 648-7721,,Brothers Pool Plastering,"6199 Clarksville Pike, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,general contractor,score-100",apify-lead-gen,100,general contractor,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (general contractor): +5,https://www.google.com/maps/search/?api=1&query=Brothers%20Pool%20Plastering&query_place_id=ChIJAcOYBQBZZIgR8vnEwbplmQg
Any,Weather Heating & Cooling,(615) 876-1477,,Any Weather Heating & Cooling,"3572 Baxter Rd, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,general contractor,score-100",apify-lead-gen,100,general contractor,2,3.5,No website — needs full digital presence; Low reviews (2) — needs review automation; GBP unclaimed — huge opportunity; High-value vertical (general contractor): +5,https://www.google.com/maps/search/?api=1&query=Any%20Weather%20Heating%20%26%20Cooling&query_place_id=ChIJgTrtD4pYZIgRptpmD9S6W8U
Pine,Haven Landscaping,(615) 456-0110,,Pine Haven Landscaping,"3039 Greer Rd, Goodlettsville, TN 37072",Goodlettsville,Tennessee,37072,http://www.tennesseedrainage.com/,"lead-gen,general contractor,score-100",apify-lead-gen,100,general contractor,2,5,Has website — check for automation gaps; Low reviews (2) — needs review automation; High rating (5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (general contractor): +5,https://www.google.com/maps/search/?api=1&query=Pine%20Haven%20Landscaping&query_place_id=ChIJ3ZoAJlhaZIgRgxowB2bIlQo
Davis,Maintenance Services LLC,(615) 275-6013,,Davis Maintenance Services LLC,,,,,,"lead-gen,general contractor,score-100",apify-lead-gen,100,general contractor,7,5,No website — needs full digital presence; Low reviews (7) — needs review automation; High rating (5) but few reviews — quality business under-marketed; High-value vertical (general contractor): +5,https://www.google.com/maps/search/?api=1&query=Davis%20Maintenance%20Services%20LLC&query_place_id=ChIJH0rdsPBZZIgR9bpGj6WPAhQ
Brown,Doug,(615) 859-0367,,Brown Doug,"1860 Fox Chase Dr, Goodlettsville, TN 37072",Goodlettsville,Tennessee,37072,,"lead-gen,general contractor,score-100",apify-lead-gen,100,general contractor,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (general contractor): +5,https://www.google.com/maps/search/?api=1&query=Brown%20Doug&query_place_id=ChIJ2c_5mU1FZIgRaeSe5sLNUX0
Mosquito,Control District,(615) 466-7435,,Mosquito Control District,"1319 McGavock Pk, Nashville, TN 37216",Nashville,Tennessee,37216,,"lead-gen,pest control,score-100",apify-lead-gen,100,pest control,8,5,No website — needs full digital presence; Low reviews (8) — needs review automation; High rating (5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (pest control): +4,https://www.google.com/maps/search/?api=1&query=Mosquito%20Control%20District&query_place_id=ChIJDbZ4Qn04mVQR5dnoUOpw-Qw
Mack,Pest Control,,,Mack Pest Control,"Nashville, TN 37216",Nashville,Tennessee,,,"lead-gen,pest control,score-100",apify-lead-gen,100,pest control,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (pest control): +4,https://www.google.com/maps/search/?api=1&query=Mack%20Pest%20Control&query_place_id=ChIJkfK06rxCZIgRHFVwxbbAuhU
Value,Painting,(615) 829-9334,,Value Painting,"721 Darden Pl, Nashville, TN 37205",Nashville,Tennessee,37205,,"lead-gen,painting contractor,score-100",apify-lead-gen,100,painting contractor,17,4.9,No website — needs full digital presence; Low reviews (17) — needs review automation; High rating (4.9) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (painting contractor): +4,https://www.google.com/maps/search/?api=1&query=Value%20Painting&query_place_id=ChIJSxoAhDxiZIgRTgzYr-WWgEA
Mc,Clanahan Fencing & Decks,(615) 519-3193,,Mc Clanahan Fencing & Decks,"4004 Devonshire Dr, Nashville, TN 37207",Nashville,Tennessee,37207,,"lead-gen,fence contractor,score-100",apify-lead-gen,100,fence contractor,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (fence contractor): +4,https://www.google.com/maps/search/?api=1&query=Mc%20Clanahan%20Fencing%20%26%20Decks&query_place_id=ChIJX3krEuFcZIgRA-TsZYpCotA
Justin,"D'Abadie, DDS, FAGD",(512) 331-1477,,"Justin D'Abadie, DDS, FAGD","6500 McNeil Dr bldg 1, Austin, TX 78727",Austin,Texas,78727,https://www.advanceddentalcareofaustin.com/,"lead-gen,dentist,score-100",apify-lead-gen,100,dentist,31,4.9,Has website — check for automation gaps; Growing business (31 reviews) — prime for automation; High rating (4.9) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (dentist): +8,https://www.google.com/maps/search/?api=1&query=Justin%20D'Abadie%2C%20DDS%2C%20FAGD&query_place_id=ChIJ-QWSyRzNRIYRJ9SxXPxTApg
new,Universal HVAC Contractors Austin.,(847) 200-3508,,new Universal HVAC Contractors Austin.,"911 Dessau Rd, Austin, TX 78753",Austin,Texas,78753,,"lead-gen,HVAC contractor,score-100",apify-lead-gen,100,HVAC contractor,1,5,No website — needs full digital presence; Low reviews (1) — needs review automation; High rating (5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=new%20Universal%20HVAC%20Contractors%20Austin.&query_place_id=ChIJ1yo-m3bPRIYRRLR6junk-Pk
Total,Comfort,(512) 835-0267,,Total Comfort,"11803 N Oaks Dr, Austin, TX 78753",Austin,Texas,78753,,"lead-gen,HVAC contractor,score-100",apify-lead-gen,100,HVAC contractor,9,4.6,No website — needs full digital presence; Low reviews (9) — needs review automation; High rating (4.6) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=Total%20Comfort&query_place_id=ChIJA-1mRDfJRIYRnLuT8yK5IpE
Best,Choice Roofing and Home Improvement,(512) 833-5800,,Best Choice Roofing and Home Improvement,"8101 Cameron Rd #307, Austin, TX 78754",Austin,Texas,78754,,"lead-gen,roofing contractor,score-100",apify-lead-gen,100,roofing contractor,9,4.9,No website — needs full digital presence; Low reviews (9) — needs review automation; High rating (4.9) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (roofing contractor): +5,https://www.google.com/maps/search/?api=1&query=Best%20Choice%20Roofing%20and%20Home%20Improvement&query_place_id=ChIJB1n8ppDJRIYRGgiKPEaG7p4
V,& J Auto Service,,,V & J Auto Service,"500 Farley Dr, Austin, TX 78753",Austin,Texas,78753,,"lead-gen,auto repair shop,score-100",apify-lead-gen,100,auto repair shop,29,4.1,No website — needs full digital presence; Growing business (29 reviews) — prime for automation; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=V%20%26%20J%20Auto%20Service&query_place_id=ChIJR96z1UDJRIYRQaxtqvzuEpY
Luu,Auto Repair & Body Shop,(512) 837-3714,,Luu Auto Repair & Body Shop,"903 Kramer Ln, Austin, TX 78758",Austin,Texas,78758,,"lead-gen,auto repair shop,score-100",apify-lead-gen,100,auto repair shop,129,4.9,No website — needs full digital presence; Established (129 reviews) — has budget for services; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=Luu%20Auto%20Repair%20%26%20Body%20Shop&query_place_id=ChIJDd_CYFrJRIYR4sTXg9ZtB6s
Ramirez,Auto Repair,(512) 552-3091,,Ramirez Auto Repair,"701 Provines Dr, Austin, TX 78753",Austin,Texas,78753,,"lead-gen,auto repair shop,score-100",apify-lead-gen,100,auto repair shop,47,4.5,No website — needs full digital presence; Growing business (47 reviews) — prime for automation; High rating (4.5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=Ramirez%20Auto%20Repair&query_place_id=ChIJFaILl1zJRIYRGov8e7bek94
Best,Electrician 24/7,(737) 301-5578,,Best Electrician 24/7,"7901 Centre Park Dr, Austin, TX 78754",Austin,Texas,78754,,"lead-gen,electrician,score-100",apify-lead-gen,100,electrician,23,4.5,No website — needs full digital presence; Growing business (23 reviews) — prime for automation; High rating (4.5) but few reviews — quality business under-marketed; High-value vertical (electrician): +5,https://www.google.com/maps/search/?api=1&query=Best%20Electrician%2024%2F7&query_place_id=ChIJs67r7CTJRIYRiwgeyJ95CtM
Premier,Electrician Services,(737) 281-2742,,Premier Electrician Services,"5605 Springdale Rd, Austin, TX 78723",Austin,Texas,78723,,"lead-gen,electrician,score-100",apify-lead-gen,100,electrician,19,4.8,No website — needs full digital presence; Low reviews (19) — needs review automation; High rating (4.8) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (electrician): +5,https://www.google.com/maps/search/?api=1&query=Premier%20Electrician%20Services&query_place_id=ChIJbZ5NOy63RIYRAiP7lKez2C4
One,Electrics,(210) 898-0522,,One Electrics,"13000 Hymeadow Dr, Austin, TX 78729",Austin,Texas,78729,https://oneelectricstx.blogspot.com/,"lead-gen,electrician,score-100",apify-lead-gen,100,electrician,8,5,Has website — check for automation gaps; Low reviews (8) — needs review automation; High rating (5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity; High-value vertical (electrician): +5,https://www.google.com/maps/search/?api=1&query=One%20Electrics&query_place_id=ChIJnwVtxMIzW4YRTnj1wdg_Orc
Anthonys,Electrical Services,(512) 601-4161,,Anthonys Electrical Services,"9810 Brandywine Cir, Austin, TX 78750",Austin,Texas,78750,,"lead-gen,electrician,score-100",apify-lead-gen,100,electrician,4,4,No website — needs full digital presence; Low reviews (4) — needs review automation; GBP unclaimed — huge opportunity; High-value vertical (electrician): +5,https://www.google.com/maps/search/?api=1&query=Anthonys%20Electrical%20Services&query_place_id=ChIJyTZrGd8yW4YRpwGI8vhcZMU
Tejas,Landscape Services,(512) 834-9072,,Tejas Landscape Services,"401 Victor St A, Austin, TX 78753",Austin,Texas,78753,,"lead-gen,landscaper,score-100",apify-lead-gen,100,landscaper,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (landscaper): +4,https://www.google.com/maps/search/?api=1&query=Tejas%20Landscape%20Services&query_place_id=ChIJZ52HPkHJRIYRBv9RtcQZrU8
